ds	yhat	yhat_lower	yhat_upper
2005-02-14	13.369444095536853	2.1387495327465853	24.178410247711994
2005-02-21	10.046902063111938	-0.8669824769104564	21.27061439347734
2005-02-28	8.822626108525885	-2.249804408593183	20.114418637148834
2005-03-07	10.483098771700762	-0.6507777341284797	20.935887550331486
2005-03-14	13.101426956806431	1.6028446696457537	24.576063508852815
2005-03-21	13.657981761255357	2.8579676187727623	24.958551800375087
2005-03-28	11.211999415782302	0.09559814210927789	22.211155124671894
2005-04-04	8.026928190194319	-2.1560086339924127	18.75419310054806
2005-04-11	7.076197534571101	-3.9703897369617653	18.27356396184714
2005-04-18	8.627423546589295	-2.334135160609772	19.59565716959591
2005-04-25	9.96540748564922	-0.7731744665172856	20.242687362797398
2005-05-02	8.772703298888569	-2.334334010673891	19.598738781076044
2005-05-09	6.235287856010199	-3.984008361636967	16.39937400501592
2005-05-16	6.014140278308497	-4.511521719768682	16.88083120784475
2005-05-23	10.019197982698973	-1.5489275607709538	20.638926309088674
2005-05-30	15.855118807160665	5.399107360965658	27.26249288499966
2005-06-06	19.084148833745566	8.971257311751073	30.221031354726136
2005-06-13	17.92872303510257	7.489313658904064	28.368765815169876
2005-06-20	15.16259976742407	4.443324278674444	26.221574700128652
2005-06-27	15.103198203548855	4.425400228324486	24.97128890035528
2005-07-04	19.1140028690949	8.432247547655214	29.764598093124683
2005-07-11	24.495183562562726	13.306103038659101	35.61490884482413
2005-07-25	27.297010254070486	16.03698746313557	37.9623587315066
2005-08-01	25.262849071123245	14.67696805165782	36.63896146073505
2005-08-08	23.24425045587383	11.62259530376789	34.67969688444399
2005-08-15	21.236900816896494	10.350356216260975	31.374611816827038
2005-08-22	18.42256676955246	7.740001581735294	29.96532688254633
2005-08-29	15.217832076267255	3.4984754065795602	25.44495566658261
2005-09-05	13.49118366679583	2.884142076542743	23.73210117533226
2005-09-12	14.610282291117628	3.798618162557809	25.767807230749998
2005-09-19	17.82814315732407	7.084221752806946	29.163492092147532
2005-09-26	21.02790168338317	10.360462435526165	32.5712801469962
2005-10-03	22.856257256381227	12.378419547150562	33.36499057412024
2005-10-10	23.684085195153372	12.183539273730421	35.060137004399365
2005-10-17	24.50775969185971	13.18683746587568	35.30745214716379
2005-10-24	25.486051495062444	14.670179517205819	36.8559054981378
2005-10-31	25.985749947043526	15.464678249372051	37.071277990133915
2005-11-07	25.79121997257544	14.226765227952997	36.57605205188432
2005-11-14	25.599776305988037	14.985441859949225	37.48977404275552
2005-11-21	26.0486520627717	15.998136304104486	36.474155216400426
2005-11-28	26.64949005050135	15.041089512277017	37.47331091367403
2005-12-05	26.212112919442994	15.995584106994663	37.338976683656746
2005-12-12	24.350054683400607	13.613132905281418	35.59655304538934
2005-12-19	22.162829211197305	11.272884596122042	33.06820237925459
2005-12-26	21.19198317051969	10.618680280625474	32.08300352473764
2006-01-02	21.914850647523906	10.129891023088513	33.07711662343387
2006-01-09	23.523222257438597	12.350390651316832	34.550833851129866
2006-01-16	24.98534960469142	13.209066634268863	35.673812616734885
2006-01-23	25.834287261846754	14.661157216016699	36.73864319151719
2006-01-30	25.823991721848188	14.91698449642052	37.76038777189946
2006-02-06	24.43130994773866	13.808064142367083	35.639248582324655
2006-02-13	21.431852788753616	10.30337117467741	32.64705616717361
2006-02-20	17.964889922490066	7.529420597607014	28.935845683611937
2006-02-27	16.236769096320486	5.328817406432632	27.088049100169954
2006-03-06	17.448710903027433	7.039243218656589	28.96817363496015
2006-03-13	20.127848113736555	9.061278554616102	31.17698343168498
2006-03-20	21.217246076621002	10.208097754252732	31.282278885000057
2006-03-27	19.2193662075873	7.997116236757668	30.641536010987913
2006-04-03	15.916699466481104	4.933258583426334	27.748295192686445
2006-04-10	14.439818791429325	3.4153161074622593	25.6943433194292
2006-04-17	15.687571099834699	5.477549078716914	26.36183246896053
